eligibility_base,row_label,eligibility_indian,eligibility_international,relaxation,remarks,equivalent_qualification
After 10+2,bca cyber security,60% with  English,50% and  ELR,"- 5% to Defence Personnel and their Dependents*/Wards of Kashmiri Migrants.
 - 10% to North East states and Sikkim candidates

* Not applicable for Tie-up programmes",*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,
After 10+2,bca data science in tie up with ibm,60% with  English,50%  and  ELR,"- 5% to Defence Personnel and their Dependents*/Wards of Kashmiri Migrants.
 - 10% to North East states and Sikkim candidates

* Not applicable for Tie-up programmes",*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,
After 10+2,bca artificial intelligence and machine learning,60% with  English,50%  and  ELR,"- 5% to Defence Personnel and their Dependents*/Wards of Kashmiri Migrants.
 - 10% to North East states and Sikkim candidates

* Not applicable for Tie-up programmes",*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,
After 10+2,bca artificial intelligence and data analytics,60% with  English,50%  and  ELR,"- 5% to Defence Personnel and their Dependents*/Wards of Kashmiri Migrants.
 - 10% to North East states and Sikkim candidates

* Not applicable for Tie-up programmes",*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,
After 10+2,bca ai and robotics,60% with  English,50%  and  ELR,"- 5% to Defence Personnel and their Dependents*/Wards of Kashmiri Migrants.
 - 10% to North East states and Sikkim candidates

* Not applicable for Tie-up programmes",*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,
After 10+2,b sc computer science cyber security,60% with  English,50%  and  ELR,"- 5% to Defence Personnel and their Dependents*/Wards of Kashmiri Migrants.
 - 10% to North East states and Sikkim candidates

* Not applicable for Tie-up programmes",*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,
After 10+2,bsc it including with international credit transfer option,50% with  English,50% and  ELR,5% to North East states and Sikkim candidates/ Defence Personnel and their Dependents/ Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,
After 10+2,b sc hons agriculture,"60%  in 10+2/Intermediate with English and 3 subject out of Physics/ Chemistry/ Maths/ Biology/ Agriculture + LPUNEST*/  JEE Main (From Phase II Onwards)/ CUET/NEET

*LPUNEST will be exempted if candidate scores 90% or more marks in the qualifying  exam.
 
Age Condition :- Minimum 16 Years (i.e. on or before 31st Dec. 2026)","50%  in 10+2/Intermediate with 3 subject out of Physics/ Chemistry/ Maths/ Biology/ Agriculture and ELR

Age Condition :- Minimum 16 Years (i.e. on or before 31st Dec. 2026)","- 5% to Defence Personnel and their Dependents/Wards of Kashmiri Migrants.
 - 10% to North East states and Sikkim candidates",Age Condition :- Minimum 16 Years (i.e. born on or before last date of admission ),
After 10+2,b sc hons hons with research food technology,"60% with  English, Physics,  Chemistry &  Maths / Biology/ Biotechnology/ Food Processing as vocational subject","50% with  Physics,  Chemistry &  Maths / Biology/ Biotechnology /Food Processing as vocational subject and ELR","-  5% to Defence Personnel and their Dependents/Wards of Kashmiri Migrants.
 -  10% to North East states and Sikkim candidates",Age Condition :- Minimum 16 Years (i.e. born on or before last date of admission ),
After 10+2,b sc food technology,"60% with  English, Physics,  Chemistry &  Maths / Biology/ Biotechnology/ Food Processing as vocational subject","50% with  Physics,  Chemistry &  Maths / Biology/ Biotechnology /Food Processing as vocational subject and ELR","-  5% to Defence Personnel and their Dependents/Wards of Kashmiri Migrants.
 -  10% to North East states and Sikkim candidates",Age Condition :- Minimum 16 Years (i.e. born on or before last date of admission ),
After 10+2,nutrition and dietetics,"60% with  English, Physics,  Chemistry &  Maths / Biology/ Biotechnology/ Food Processing as vocational subject","50% with  Physics,  Chemistry &  Maths / Biology/ Biotechnology /Food Processing as vocational subject and ELR","-  5% to Defence Personnel and their Dependents/Wards of Kashmiri Migrants.
 -  10% to North East states and Sikkim candidates",Age Condition :- Minimum 16 Years (i.e. born on or before last date of admission ),
After 10+2,bachelor of nutrition and dietetics honours,"60% with English, Physics, Chemistry & Biology

Age Condition:- Minimum 17 Years (i.e. on or before 31st Dec. 2026)","50% with  Physics, Chemistry and Biology + LPUIST + ELR 

Age Condition:- Minimum 17 Years (i.e. on or before 31st Dec. 2026)","-  5% to Defence Personnel and their Dependents/Wards of Kashmiri Migrants.
 -  10% to North East states and Sikkim candidates",Medical fitness certificate is mandatory to submit and it is to be endorsed by Government medical officer,
After 10+2,b sc hons hons with research biotechnology,"60% with English, Physics, Chemistry and  Maths/ Biology/ Biotechnology","50% with Physics ,Chemistry and Maths/  Biology/ Biotechnology  and  ELR","-  5% to Defence Personnel and their Dependents/Wards of Kashmiri Migrants.
 -  10% to North East states and Sikkim candidates",Medical fitness certificate is mandatory to submit and it is to be endorsed by Government medical officer,
After 10+2,b sc biotechnology,"60% with English, Physics, Chemistry and  Maths/ Biology/ Biotechnology","50% with Physics ,Chemistry and Maths/  Biology/ Biotechnology  and  ELR","-  5% to Defence Personnel and their Dependents/Wards of Kashmiri Migrants.
 -  10% to North East states and Sikkim candidates",Medical fitness certificate is mandatory to submit and it is to be endorsed by Government medical officer,
After 10+2,b sc hons hons with research microbiology,"60% with English, Physics, Chemistry and Maths/ Biology/ Biotechnology","50% with Physics ,Chemistry and  Maths / Biology/ Biotechnology and ELR","-  5% to Defence Personnel and their Dependents/Wards of Kashmiri Migrants.
 -  10% to North East states and Sikkim candidates",Medical fitness certificate is mandatory to submit and it is to be endorsed by Government medical officer,3 years diploma in MLT after 10th
After 10+2,b sc microbiology,"60% with English, Physics, Chemistry and Maths/ Biology/ Biotechnology","50% with Physics ,Chemistry and  Maths / Biology/ Biotechnology and ELR","-  5% to Defence Personnel and their Dependents/Wards of Kashmiri Migrants.
 -  10% to North East states and Sikkim candidates",Medical fitness certificate is mandatory to submit and it is to be endorsed by Government medical officer,3 years diploma in MLT after 10th
After 10+2,forensic science,"60% with English, Physics, Chemistry and Maths/ Biology/ Biotechnology","50% with Physics ,Chemistry and  Maths / Biology/ Biotechnology and ELR","-  5% to Defence Personnel and their Dependents/Wards of Kashmiri Migrants.
 -  10% to North East states and Sikkim candidates",Medical fitness certificate is mandatory to submit and it is to be endorsed by Government medical officer,3 years diploma in MLT after 10th
After 10+2,b sc hons hons with research forensic sciences,"60% with English, Physics, Chemistry and  Maths/ Biology/ Biotechnology","50% with Physics ,Chemistry  and  Maths/ Biology/ Biotechnology  and  ELR","-  5% to Defence Personnel and their Dependents/Wards of Kashmiri Migrants.
 -  10% to North East states and Sikkim candidates",Medical fitness certificate is mandatory to submit and it is to be endorsed by Government medical officer,3 years diploma in MLT after 10th
After 10+2,b sc forensic science,"60% with English, Physics, Chemistry and  Maths/ Biology/ Biotechnology","50% with Physics ,Chemistry  and  Maths/ Biology/ Biotechnology  and  ELR","-  5% to Defence Personnel and their Dependents/Wards of Kashmiri Migrants.
 -  10% to North East states and Sikkim candidates",Medical fitness certificate is mandatory to submit and it is to be endorsed by Government medical officer,3 years diploma in MLT after 10th
After 10+2,b sc hons hons with research zoology,"60% with English, Physics, Chemistry and  Biology/ Biotechnology","50% with  Physics, Chemistry and Biology/ Biotechnology and  ELR","-  5% to Defence Personnel and their Dependents/Wards of Kashmiri Migrants.
 -  10% to North East states and Sikkim candidates",Medical fitness certificate is mandatory to submit and it is to be endorsed by Government medical officer,3 years diploma in MLT after 10th
After 10+2,b sc zoology,"60% with English, Physics, Chemistry and  Biology/ Biotechnology","50% with  Physics, Chemistry and Biology/ Biotechnology and  ELR","-  5% to Defence Personnel and their Dependents/Wards of Kashmiri Migrants.
 -  10% to North East states and Sikkim candidates",Medical fitness certificate is mandatory to submit and it is to be endorsed by Government medical officer,3 years diploma in MLT after 10th
After 10+2,b sc hons hons with research physics,"60% with English, Physics and  Maths","50% with Physics, Maths and ELR","-  5% to Defence Personnel and their Dependents/Wards of Kashmiri Migrants.
 -  10% to North East states and Sikkim candidates",Medical fitness certificate is mandatory to submit and it is to be endorsed by Government medical officer,3 years diploma in MLT after 10th
After 10+2,b sc physics,"60% with English, Physics and  Maths","50% with Physics, Maths and ELR","-  5% to Defence Personnel and their Dependents/Wards of Kashmiri Migrants.
 -  10% to North East states and Sikkim candidates",Medical fitness certificate is mandatory to submit and it is to be endorsed by Government medical officer,3 years diploma in MLT after 10th
After 10+2,b sc hons hons with research chemistry,60% with English  and Chemistry,50% with Chemistry and ELR,"-  5% to Defence Personnel and their Dependents/Wards of Kashmiri Migrants.
 -  10% to North East states and Sikkim candidates",Medical fitness certificate is mandatory to submit and it is to be endorsed by Government medical officer,3 years diploma in MLT after 10th
After 10+2,b sc chemistry,60% with English  and Chemistry,50% with Chemistry and ELR,"-  5% to Defence Personnel and their Dependents/Wards of Kashmiri Migrants.
 -  10% to North East states and Sikkim candidates",Medical fitness certificate is mandatory to submit and it is to be endorsed by Government medical officer,3 years diploma in MLT after 10th
After 10+2,b sc hons hons with research mathematics,"60% with English, Physics, Chemistry and Maths","50% with Physics, Chemistry, Maths and ELR","-  5% to Defence Personnel and their Dependents/Wards of Kashmiri Migrants.
 -  10% to North East states and Sikkim candidates",Medical fitness certificate is mandatory to submit and it is to be endorsed by Government medical officer,3 years diploma in MLT after 10th
After 10+2,b sc mathematics,"60% with English, Physics, Chemistry and Maths","50% with Physics, Chemistry, Maths and ELR","-  5% to Defence Personnel and their Dependents/Wards of Kashmiri Migrants.
 -  10% to North East states and Sikkim candidates",Medical fitness certificate is mandatory to submit and it is to be endorsed by Government medical officer,3 years diploma in MLT after 10th
After 10+2,bba 3yrs including with international credit transfer option,50% with  English,50% and  ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/ Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,bba hons hons with research,50% with  English,50% and  ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/ Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,integrated bba mba,60% with  English,60% and  ELR,"-  5% to Defence Personnel and their Dependents*/Wards of Kashmiri Migrants.
 -  10% to North East states and Sikkim candidates

* Not applicable for Tie-up programmes",*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,bba hons technology and management with global immersion,60% with  English,60% and  ELR,"-  5% to Defence Personnel and their Dependents*/Wards of Kashmiri Migrants.
 -  10% to North East states and Sikkim candidates

* Not applicable for Tie-up programmes",*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,bba international finance,60% with  English,50% and  ELR,"-  5% to Defence Personnel and their Dependents*/Wards of Kashmiri Migrants.
 -  10% to North East states and Sikkim candidates

* Not applicable for Tie-up programmes",*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,bba financial markets,60% with  English,50% and  ELR,"-  5% to Defence Personnel and their Dependents*/Wards of Kashmiri Migrants.
 -  10% to North East states and Sikkim candidates

* Not applicable for Tie-up programmes",*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,bba business analytics,60% with  English,50% and  ELR,"-  5% to Defence Personnel and their Dependents*/Wards of Kashmiri Migrants.
 -  10% to North East states and Sikkim candidates

* Not applicable for Tie-up programmes",*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,bba international accounting,60% with  English,50% and  ELR,"-  5% to Defence Personnel and their Dependents*/Wards of Kashmiri Migrants.
 -  10% to North East states and Sikkim candidates

* Not applicable for Tie-up programmes",*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,bba corporate finance,60% with  English,50% and  ELR,"-  5% to Defence Personnel and their Dependents*/Wards of Kashmiri Migrants.
 -  10% to North East states and Sikkim candidates

* Not applicable for Tie-up programmes",*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,bba fintech and artificial intelligence,60% with  English,50% and  ELR,"-  5% to Defence Personnel and their Dependents*/Wards of Kashmiri Migrants.
 -  10% to North East states and Sikkim candidates

* Not applicable for Tie-up programmes",*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,bba artificial intelligence and machine learning,60% with  English,50% and  ELR,"-  5% to Defence Personnel and their Dependents*/Wards of Kashmiri Migrants.
 -  10% to North East states and Sikkim candidates

* Not applicable for Tie-up programmes",*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,bba digital marketing and artificial intelligence,50% with  English,50% and  ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/ Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,bba cargo logistics and supply chain management,50% with  English,50% and  ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/ Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,b com including with international credit transfer option,50% with  English,50% and  ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/ Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,b com hons hons with research,50% with  English,50% and  ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/ Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,b com management accounting and international finance,60% with  English,50% and  ELR,"- 5% to Defence Personnel and their Dependents*/Wards of Kashmiri Migrants.
 - 10% to North East states and Sikkim candidates

* Not applicable for Tie-up programmes",*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,b com international accounting,60% with  English,50% and  ELR,"- 5% to Defence Personnel and their Dependents*/Wards of Kashmiri Migrants.
 - 10% to North East states and Sikkim candidates

* Not applicable for Tie-up programmes",*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,b com corporate finance,60% with  English,50% and  ELR,"- 5% to Defence Personnel and their Dependents*/Wards of Kashmiri Migrants.
 - 10% to North East states and Sikkim candidates

* Not applicable for Tie-up programmes",*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,b com fintech and artificial intelligence,60% with  English,50% and  ELR,"- 5% to Defence Personnel and their Dependents*/Wards of Kashmiri Migrants.
 - 10% to North East states and Sikkim candidates

* Not applicable for Tie-up programmes",*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,b sc economics,50% with  English,50% and  ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,b sc hons hons with research economics,50% with  English,50% and  ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,hotel management and tourism,50% with  English,50% and  ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,bba tourism hospitality and event management,50% with  English,50% and  ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,bba airlines and airport management,50% with  English,50% and  ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,b sc hotel and hospitality management,50% with  English,50% and  ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,b sc culinary arts,50% with  English,50% and  ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,bhmct including with international credit transfer option,50% with  English,50% and  ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,b sc airlines tourism and hospitality,50% with  English,50% and  ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,b a ll b hons,"60% with  English  + LPUNEST*/ CLAT/ CUET

*LPUNEST will be exempted if candidate scores 90% or more marks in the qualifying  exam.",50% and ELR,"1. ) 5% to SC/ST and  3% to OBC.
2.)  5% to Defence Personnel and their Dependents/Wards of Kashmiri Migrants.
3.)  10% to North East states and Sikkim candidates
Note:- Only one relaxation to be given",*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,bba ll b hons,"60% with  English  + LPUNEST*/ CLAT/ CUET

*LPUNEST will be exempted if candidate scores 90% or more marks in the qualifying  exam.",50% and ELR,"1. ) 5% to SC/ST and  3% to OBC.
2.)  5% to Defence Personnel and their Dependents/Wards of Kashmiri Migrants.
3.)  10% to North East states and Sikkim candidates
Note:- Only one relaxation to be given",*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,architecture after 10 2,"60% with  English  + LPUNEST*/ CLAT/ CUET

*LPUNEST will be exempted if candidate scores 90% or more marks in the qualifying  exam.",50% and ELR,"1. ) 5% to SC/ST and  3% to OBC.
2.)  5% to Defence Personnel and their Dependents/Wards of Kashmiri Migrants.
3.)  10% to North East states and Sikkim candidates
Note:- Only one relaxation to be given",*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,b arch,"50% in 10+2 with English, Physics, Mathematics & Chemistry/ Biology/ Computer Science/ IT/ Business Study/ Engineering Graphics/ Informatics Practice/ Technical Vocational Subject + NATA 2026
OR
50% in  Diploma (3 years any stream with Mathematics ) +  NATA 2026","50% in 10+2 with English, Physics, Mathematics & Chemistry/ Biology/ Computer Science/ IT/ Business Study/ Engineering Graphics/ Informatics Practice/ Technical Vocational Subject + NATA 2026 and ELR
OR
50% in Diploma (3 years any stream with Mathematics ) + NATA 2026 and ELR","1. ) 5% to SC/ST and  3% to OBC.
2.)  5% to Defence Personnel and their Dependents/Wards of Kashmiri Migrants.
3.)  10% to North East states and Sikkim candidates
Note:- Only one relaxation to be given",*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,integrated b tech m tech urban and regional planning,"50% in 10+2 with English
(The candidates not having passed mathematics at the 10+2 level will have to do 2 additional courses ie mathematics and statistics, in the first 2 semesters as bridge course)

OR
50% in Diploma Architecture/ Civil Engineering/ Design (3yrs.  after 10th)","50% in 10+2 and ELR
(The candidates not having passed mathematics at the 10+2 level will have to do 2 additional courses ie mathematics and statistics, in the first 2 semesters as bridge course)

OR
50% in Diploma Architecture/ Civil Engineering/ Design (3yrs.  after 10th) and ELR","1. ) 5% to SC/ST and  3% to OBC.
2.)  5% to Defence Personnel and their Dependents/Wards of Kashmiri Migrants.
3.)  10% to North East states and Sikkim candidates
Note:- Only one relaxation to be given",*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,interior and furniture deisgn,"50% in 10+2 with English
(The candidates not having passed mathematics at the 10+2 level will have to do 2 additional courses ie mathematics and statistics, in the first 2 semesters as bridge course)

OR
50% in Diploma Architecture/ Civil Engineering/ Design (3yrs.  after 10th)","50% in 10+2 and ELR
(The candidates not having passed mathematics at the 10+2 level will have to do 2 additional courses ie mathematics and statistics, in the first 2 semesters as bridge course)

OR
50% in Diploma Architecture/ Civil Engineering/ Design (3yrs.  after 10th) and ELR","1. ) 5% to SC/ST and  3% to OBC.
2.)  5% to Defence Personnel and their Dependents/Wards of Kashmiri Migrants.
3.)  10% to North East states and Sikkim candidates
Note:- Only one relaxation to be given",*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,b sc interior and furniture design,"50% with  English + LPUNEST* or UCEED or NID-UG or NIFT-UG or CUET

*LPUNEST will be exempted if candidate scores 90% or more marks in the qualifying  exam.",50% and  ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,b design interior and furniture,"50% with  English + LPUNEST* or UCEED or NID-UG or NIFT-UG or CUET

*LPUNEST will be exempted if candidate scores 90% or more marks in the qualifying  exam.",50% and  ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,product and industrial design,"50% with  English + LPUNEST* or UCEED or NID-UG or NIFT-UG or CUET

*LPUNEST will be exempted if candidate scores 90% or more marks in the qualifying  exam.",50% and  ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,b design product and industrial,"50% with  English + LPUNEST* or UCEED or NID-UG or NIFT-UG or CUET

*LPUNEST will be exempted if candidate scores 90% or more marks in the qualifying  exam.",50% and  ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
After 10+2,interaction design ui ux,"50% with  English + LPUNEST* or UCEED or NID-UG or NIFT-UG or CUET

*LPUNEST will be exempted if candidate scores 90% or more marks in the qualifying  exam.",50% and  ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,3 years diploma in MLT after 10th
